code,pairCode,name
0745314609678,16,Aid
0745314609685,16,Aid
0745314609432,39,Area
0745314609449,39,Area
0745314609418,20,Area CU
0745314609425,20,Area CU
0745314609470,17,Care
0745314609487,17,Care
0745314609456,18,Care CU
0745314609463,18,Care CU
0745314609739,23,Drop
0745314609746,23,Drop
0745314609777,13,Medical
0745314609784,13,Medical
0745314609715,15,Nursy
0745314609722,15,Nursy
0745314609074,26,PAD Alu
0745314609081,26,PAD Alu
0745314609050,6,PAD Chrom
0745314609067,6,PAD Chrom
0745314609036,24,PAD nylon
0745314609043,24,PAD nylon
0745314609005,,PAD PU nylon
0745314609692,22,Pill
0745314609708,22,Pill
0745314609753,14,Rescuer
0745314609760,14,Rescuer
0745314609630,31,Sanit Alu
0745314609647,31,Sanit Alu
0745314609654,30,Sanit Chrom
0745314609661,30,Sanit Chrom
0745314609531,27,Stand Alu
0745314609548,27,Stand Alu
0745314609579,8,Stand Chrom
0745314609586,8,Stand Chrom
0745314609555,28,Stand Nylon
0745314609562,28,Stand Nylon
0745314609494,25,Stand XXL Alu
0745314609500,25,Stand XXL Alu
0745314609517,4,Stand XXL Chrom
0745314609524,4,Stand XXL Chrom
0745314610322,,Spirit celočalouněný
0724133010063,,Spirit celočalouněný
0745314610414,,Stretch New celočalouněný
0745314610421,,Stretch New celočalouněný
0745314609791,,Strong CU
0745314609593,7,Support Alu
0745314609609,7,Support Alu
0745314609616,29,Support Chrom
0745314609623,29,Support Chrom
