id,parent_id,title,url,visible,path
881,1,KANCELÁŘSKÉ ŽIDLE A KŘESLA,kancelarske-zidle-a-kresla,1,KANCELÁŘSKÉ ŽIDLE A KŘESLA
902,1,ŽIDLE,zidle-2,1,ŽIDLE
971,1,STOLY,stoly,1,STOLY
935,1,SEDACÍ SOUPRAVY,sedaci-soupravy,1,SEDACÍ SOUPRAVY
1176,1,LOŽNICE,loznice,1,LOŽNICE
914,1,SEDACÍ VAKY,sedaci-vaky,1,SEDACÍ VAKY
1182,1,LABORATORNÍ ŽIDLE A LAVICE,laboratorni-zidle-a-lavice,1,LABORATORNÍ ŽIDLE A LAVICE
1173,1,BYTOVÉ DOPLŇKY,bytove-doplnky,1,BYTOVÉ DOPLŇKY
1179,1,ZAHRADNÍ NÁBYTEK,zahradni-nabytek,1,ZAHRADNÍ NÁBYTEK
1074,1,AKCE A VÝPRODEJ,akce-a-vyprodej,1,AKCE A VÝPRODEJ
1284,881,SÍŤOVANÉ KANCELÁŘSKÉ ŽIDLE,sitovane-kancelarske-zidle,1,KANCELÁŘSKÉ ŽIDLE A KŘESLA > SÍŤOVANÉ KANCELÁŘSKÉ ŽIDLE
1299,881,SÍŤOVANÁ KANCELÁŘSKÉ ŽIDLE,sitovana-kancelarske-zidle,1,KANCELÁŘSKÉ ŽIDLE A KŘESLA > SÍŤOVANÁ KANCELÁŘSKÉ ŽIDLE
1275,881,ČALOUNĚNÁ KANCELÁŘSKÁ KŘESLA,calounena-kancelarska-kresla,1,KANCELÁŘSKÉ ŽIDLE A KŘESLA > ČALOUNĚNÁ KANCELÁŘSKÁ KŘESLA
1122,881,ZÁTĚŽOVÁ KŘESLA,zatezova-kresla,1,KANCELÁŘSKÉ ŽIDLE A KŘESLA > ZÁTĚŽOVÁ KŘESLA
899,881,HERNÍ KŘESLA,herni-kresla,1,KANCELÁŘSKÉ ŽIDLE A KŘESLA > HERNÍ KŘESLA
1125,881,DĚTSKÉ ŽIDLE,detske-zidle-2,1,KANCELÁŘSKÉ ŽIDLE A KŘESLA > DĚTSKÉ ŽIDLE
1140,881,PRACOVNÍ A PRŮMYSLOVÉ ŽIDLE,pracovni-a-prumyslove-zidle,1,KANCELÁŘSKÉ ŽIDLE A KŘESLA > PRACOVNÍ A PRŮMYSLOVÉ ŽIDLE
896,881,NÁHRADNÍ DÍLY A PODLOŽKY,nahradni-dily-a-podlozky,1,KANCELÁŘSKÉ ŽIDLE A KŘESLA > NÁHRADNÍ DÍLY A PODLOŽKY
1128,902,RESTAURAČNÍ ŽIDLE,restauracni-zidle-2,1,ŽIDLE > RESTAURAČNÍ ŽIDLE
905,902,DŘEVĚNÉ ŽIDLE,drevene-zidle,1,ŽIDLE > DŘEVĚNÉ ŽIDLE
1134,902,ČALOUNĚNÉ ŽIDLE,calounene-zidle,1,ŽIDLE > ČALOUNĚNÉ ŽIDLE
1137,902,ŽIDLE MASIV,zidle-masiv,1,ŽIDLE > ŽIDLE MASIV
911,902,PLASTOVÉ ŽIDLE,plastove-zidle,1,ŽIDLE > PLASTOVÉ ŽIDLE
908,902,KOVOVÉ ŽIDLE,kovove-zidle,1,ŽIDLE > KOVOVÉ ŽIDLE
1143,902,BAROVÉ ŽIDLE,barove-zidle-3,1,ŽIDLE > BAROVÉ ŽIDLE
1146,902,KONFERENČNÍ ŽIDLE,konferencni-zidle-2,1,ŽIDLE > KONFERENČNÍ ŽIDLE
1149,902,ŽIDLE PRO SENIORY,zidle-pro-seniory-2,1,ŽIDLE > ŽIDLE PRO SENIORY
1152,902,DĚTSKÉ ŽIDLE,detske-zidle-3,1,ŽIDLE > DĚTSKÉ ŽIDLE
1155,902,TABURETY,taburety-2,1,ŽIDLE > TABURETY
1158,914,DĚTSKÉ SEDACÍ VAKY,detske-sedaci-vaky,1,SEDACÍ VAKY > DĚTSKÉ SEDACÍ VAKY
1161,914,STUDENTSKÉ SEDACÍ VAKY,studentske-sedaci-vaky,1,SEDACÍ VAKY > STUDENTSKÉ SEDACÍ VAKY
1164,914,SEDACÍ VAKY NA ZAHRADU,sedaci-vaky-na-zahradu,1,SEDACÍ VAKY > SEDACÍ VAKY NA ZAHRADU
938,935,SEDACÍ SOUPRAVY,rohove-sedaci-soupravy,1,SEDACÍ SOUPRAVY > SEDACÍ SOUPRAVY
941,935,POHOVKY,pohovky-2,1,SEDACÍ SOUPRAVY > POHOVKY
944,935,KŘESLA,kresla,1,SEDACÍ SOUPRAVY > KŘESLA
947,935,TABURETY A PODNOŽKY,taburety-a-podnozky,1,SEDACÍ SOUPRAVY > TABURETY A PODNOŽKY
1245,971,STOLY MASIV,stoly-masiv,1,STOLY > STOLY MASIV
1248,971,RESTAURAČNÍ STOLY,restauracni-stoly,1,STOLY > RESTAURAČNÍ STOLY
974,971,JÍDELNÍ STOLY,jidelni-stoly,1,STOLY > JÍDELNÍ STOLY
1251,971,PLASTOVÉ STOLY,plastove-stoly-2,1,STOLY > PLASTOVÉ STOLY
1254,971,HERNÍ STOLY,herni-stoly,1,STOLY > HERNÍ STOLY
1257,971,PRACOVNÍ STOLY,pracovni-stoly,1,STOLY > PRACOVNÍ STOLY
1260,971,BAROVÉ STOLY,barove-stoly,1,STOLY > BAROVÉ STOLY
1263,971,KONFERENČNÍ STOLY,konferencni-stoly-2,1,STOLY > KONFERENČNÍ STOLY
1266,971,STOLOVÉ PODNOŽE,stolove-podnoze-2,1,STOLY > STOLOVÉ PODNOŽE
1269,971,ODKLÁDACÍ A PŘÍSTAVNÉ STOLKY,odkladaci-a-pristavne-stolky,1,STOLY > ODKLÁDACÍ A PŘÍSTAVNÉ STOLKY
1272,971,JÍDELNÍ SETY,jidelni-sety,1,STOLY > JÍDELNÍ SETY
1167,1074,AKCE,akce,1,AKCE A VÝPRODEJ > AKCE
1170,1074,VÝPRODEJ,vyprodej,1,AKCE A VÝPRODEJ > VÝPRODEJ
1191,1173,VĚŠÁKY,vesaky,1,BYTOVÉ DOPLŇKY > VĚŠÁKY
1194,1173,NĚMÍ SLUHOVÉ,nemi-sluhove,1,BYTOVÉ DOPLŇKY > NĚMÍ SLUHOVÉ
1197,1173,KOMODY,komody,1,BYTOVÉ DOPLŇKY > KOMODY
1200,1173,BOTNÍKY,botniky,1,BYTOVÉ DOPLŇKY > BOTNÍKY
1203,1173,REGALY,regaly,1,BYTOVÉ DOPLŇKY > REGALY
1206,1173,POLIČKY,policky,1,BYTOVÉ DOPLŇKY > POLIČKY
1209,1173,PARAVÁNY,paravany,1,BYTOVÉ DOPLŇKY > PARAVÁNY
